time_stamp,ICAO,lat (deg),lon (deg),altitude (meters),heading,hor_velocity (mps),ver_velocity (mps),latlon valid,altitude valid,heading valid,velocity valid,callsign valid,ident valid,simulated report,vert_vel valid,baro valid,source_uat,squawk,altitude_type,callsign,emitter_type,tslc
54651.033,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54651.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,23
54652.025,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54652.033,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54652.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,24
54653.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54653.034,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54653.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,25
54654.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54654.034,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54654.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,26
54655.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54655.034,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54655.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,27
54656.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54656.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54656.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,28
54657.024,"AAAAA3",27.549398,-82.542515,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54657.034,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54657.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,29
54658.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54658.034,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54658.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,30
54659.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54659.034,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54659.042,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,31
54660.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54660.034,"AAAA16",27.549548,-82.542687,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54660.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,32
54661.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54661.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54661.042,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,33
54662.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54662.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54662.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,34
